Country Name,2019 [YR2019]
Albania,31.30426989
Algeria,22.71440421
American Samoa,61.66924266
Angola,40.79075505
Antigua and Barbuda,71.39790741
Argentina,17.92487838
Armenia,41.35080136
Aruba,73.23471643
Australia,24.15153911
Austria,55.75720636
Azerbaijan,49.0506275
"Bahamas, The",35.53646228
Bahrain,76.48596076
Bangladesh,13.094756
Barbados,36.48213363
Belarus,65.09440964
Belgium,82.39719928
Belize,51.25181047
Benin,29.63052719
Bermuda,51.7434244
Bhutan,33.93906381
Bolivia,24.96726228
Bosnia and Herzegovina,40.04007111
Botswana,37.08781767
Brazil,14.12291919
Brunei Darussalam,57.94604054
Bulgaria,63.93391746
Burkina Faso,27.61611212
Burundi,5.172039999
Cabo Verde,46.75111439
Cambodia,61.09129652
Cameroon,19.85009075
Canada,32.35269582
Cayman Islands,69.47102566
Central African Republic,15.75538
Chad,36.74225344
Chile,27.8432682
China,18.40999232
Colombia,15.86803865
Comoros,12.77346063
"Congo, Dem. Rep.",25.8676651
"Congo, Rep.",73.79228775
Costa Rica,34.32532156
Cote d'Ivoire,23.02345573
Croatia,50.59453845
Cuba,12.21332715
Cyprus,76.49313137
Czechia,73.87978033
Denmark,58.64718222
Djibouti,166.7177464
Dominican Republic,23.06928204
Ecuador,23.0483673
"Egypt, Arab Rep.",16.64403145
El Salvador,29.95590961
Equatorial Guinea,51.13074955
Estonia,73.88468641
Ethiopia,7.939976609
Faroe Islands,55.61266993
Fiji,48.13127781
Finland,39.8806794
France,31.59205541
French Polynesia,20.12749491
Gabon,51.43107323
"Gambia, The",18.84139797
Georgia,54.81849314
Germany,46.66961299
Ghana,37.44959942
Greece,40.10993262
Greenland,41.0427005
Guam,22.03895696
Guatemala,17.61197615
Guinea,35.04204934
Guinea-Bissau,20.28794966
Haiti,10.55767343
Honduras,39.91851267
"Hong Kong SAR, China",177.6513152
Hungary,81.52974061
Iceland,43.67285266
India,18.6642649
Indonesia,18.5915278
"Iran, Islamic Rep.",23.48386714
Iraq,38.0518682
Ireland,127.8796462
Israel,29.29847865
Italy,31.60241973
Jamaica,38.03608075
Japan,17.46352643
Jordan,36.67104733
Kazakhstan,36.4389871
Kenya,11.42799666
Kiribati,18.55765873
"Korea, Rep.",39.27586107
Kosovo,29.31260746
Kuwait,53.29343278
Kyrgyz Republic,35.2341542
Latvia,59.81407914
Lebanon,20.69775896
Lesotho,44.9168728
Libya,42.83511729
Lithuania,77.31170261
Luxembourg,204.3208177
"Macao SAR, China",82.52261352
North Macedonia,62.40805679
Madagascar,28.42440124
Malaysia,65.27776684
Maldives,69.4265505
Mali,25.70529113
Malta,166.788242
Marshall Islands,37.1875758
Mauritania,41.57981956
Mauritius,44.0717583
Mexico,38.82128516
"Micronesia, Fed. Sts.",31.48058252
Moldova,31.19108496
Mongolia,59.21723318
Montenegro,43.84664144
Morocco,34.09305747
Mozambique,32.26836151
Myanmar,30.38975072
Namibia,36.40088244
Nauru,60.57142857
Nepal,7.779936475
Netherlands,82.5377127
New Zealand,27.3194681
Nicaragua,44.80450009
Niger,11.42173345
Nigeria,14.22092679
Northern Mariana Islands,42.33700254
Norway,36.64092532
Oman,49.49201699
Pakistan,9.390863379
Paraguay,36.08729094
Peru,24.03908743
Philippines,28.38292001
Poland,53.19533562
Portugal,43.50842185
Puerto Rico,60.57888409
Qatar,52.18885993
Romania,40.20019466
Russian Federation,28.43343068
Rwanda,21.8309847
Samoa,35.03333014
San Marino,163.9972392
Saudi Arabia,34.08919081
Senegal,24.9831342
Serbia,51.01092315
Seychelles,93.54586279
Sierra Leone,18.24693558
Singapore,175.5944373
Slovak Republic,91.91010045
Slovenia,83.69943798
Solomon Islands,36.50103112
Somalia,17.44024672
South Africa,27.29747128
Spain,34.90690181
Sri Lanka,21.82353289
Sudan,8.452983418
Eswatini,45.94483548
Sweden,47.80921095
Switzerland,66.96539368
Syrian Arab Republic,13.01006646
Tajikistan,14.97993927
Tanzania,16.03674615
Thailand,59.51889062
Timor-Leste,21.36460813
Togo,24.22512022
Tonga,21.97183292
Tunisia,45.95033069
Turkiye,32.52720158
Turkmenistan,25.29995929
Uganda,17.10905802
Ukraine,41.23169126
United Arab Emirates,96.66416875
United Kingdom,31.25760606
United States,11.87247011
Uruguay,27.810397
Uzbekistan,28.29800251
Vanuatu,50.34527687
Viet Nam,85.15759031
Virgin Islands (U.S.),55.0157882
West Bank and Gaza,15.52105524
Zambia,34.6361926
Zimbabwe,27.16345888
